controller,disturbance_type,severity,wind_direction_deg,spike_probability,label,n_episodes,success_rate,n_success,n_crash,n_out_of_bounds,n_timeout,return_mean,return_std,touchdown_speed_mean_mps,fuel_used_mean_kg,episode_length_mean
pid,nominal,0.0,,,nominal,100,1.0,100,0,0,0,509.00965654108154,2.084205905466865,1.137625953182578,1068.1435942649841,476.78
sac,nominal,0.0,,,nominal,100,1.0,100,0,0,0,509.3188079722806,2.091922426250664,1.915693563849686,690.0196045637131,296.2
ppo,nominal,0.0,,,nominal,100,0.99,99,1,0,0,503.724580089256,55.88774102365997,2.114934512551027,693.9805299043655,299.28
pid,wind,2.0,0.0,,wind_2mps_0deg,100,1.0,100,0,0,0,509.00965855018876,2.0842317079496357,1.1376122057352023,1068.200045824051,476.82
sac,wind,2.0,0.0,,wind_2mps_0deg,100,1.0,100,0,0,0,509.3191489218857,2.093357313519134,1.909100666428406,688.761043548584,295.59
ppo,wind,2.0,0.0,,wind_2mps_0deg,100,0.99,99,1,0,0,503.7270158219582,55.86274345993585,2.0955841207632595,694.4988429546356,299.44
pid,wind,2.0,90.0,,wind_2mps_90deg,100,1.0,100,0,0,0,509.00963708643576,2.0841744304387646,1.1376122057352023,1068.200045824051,476.82
sac,wind,2.0,90.0,,wind_2mps_90deg,100,1.0,100,0,0,0,509.315610831196,2.0920154966741284,1.8862998209355981,692.2714084386826,297.15
ppo,wind,2.0,90.0,,wind_2mps_90deg,100,0.99,99,1,0,0,503.72794942862924,55.85625068618274,2.0898596077547182,693.8371688127518,299.1
pid,wind,2.0,180.0,,wind_2mps_180deg,100,1.0,100,0,0,0,509.0095769832343,2.084173332759526,1.1376122057352023,1068.200045824051,476.82
sac,wind,2.0,180.0,,wind_2mps_180deg,100,0.99,99,1,0,0,503.74308051055664,55.77346092967682,1.9403323180207708,687.7911865711212,295.3
ppo,wind,2.0,180.0,,wind_2mps_180deg,100,1.0,100,0,0,0,509.35675094337864,2.084122920045126,2.085517152604304,693.9133584499359,299.11
pid,wind,2.0,270.0,,wind_2mps_270deg,100,1.0,100,0,0,0,509.00959844698735,2.084230594381737,1.1376122057352023,1068.200045824051,476.82
sac,wind,2.0,270.0,,wind_2mps_270deg,100,1.0,100,0,0,0,509.32059032872303,2.092370579983397,1.9366281018666913,688.6221468448639,295.66
ppo,wind,2.0,270.0,,wind_2mps_270deg,100,1.0,100,0,0,0,509.35636796075966,2.083332127834725,2.11052831609572,693.9963817596436,299.27
pid,wind,2.0,45.0,,wind_2mps_45deg,100,1.0,100,0,0,0,509.00966026609274,2.084203294188012,1.137612205734937,1068.200045824051,476.82
sac,wind,2.0,45.0,,wind_2mps_45deg,100,1.0,100,0,0,0,509.31931800523404,2.097451468094429,1.8891859614985,692.1024143695831,297.11
ppo,wind,2.0,45.0,,wind_2mps_45deg,100,0.99,99,1,0,0,503.7310922426328,55.82638111908789,2.0818626002905565,693.976017832756,299.12
pid,wind,5.0,0.0,,wind_5mps_0deg,100,1.0,100,0,0,0,509.0096224324849,2.084335005756879,1.1386307937038167,1068.3482736349106,476.94
sac,wind,5.0,0.0,,wind_5mps_0deg,100,1.0,100,0,0,0,509.32175411276876,2.093761192897059,1.8713833519889604,689.6672248840332,295.84
ppo,wind,5.0,0.0,,wind_5mps_0deg,100,0.99,99,1,0,0,503.7289304988515,55.84448209803771,2.0912199464516084,693.7725752592087,299.11
pid,wind,5.0,90.0,,wind_5mps_90deg,100,1.0,100,0,0,0,509.0095543820622,2.084155588740065,1.1386307937038167,1068.3482736349106,476.94
sac,wind,5.0,90.0,,wind_5mps_90deg,100,1.0,100,0,0,0,509.3222006944957,2.09589416939259,1.8854138529097824,689.6622747182846,295.96
ppo,wind,5.0,90.0,,wind_5mps_90deg,100,1.0,100,0,0,0,509.35629334802377,2.084154162760553,2.05328495909834,694.3919837474823,299.22
pid,wind,5.0,180.0,,wind_5mps_180deg,100,1.0,100,0,0,0,509.0093626877843,2.084149063775898,1.1386307937038167,1068.3482736349106,476.94
sac,wind,5.0,180.0,,wind_5mps_180deg,100,1.0,100,0,0,0,509.31692256082187,2.094273500522383,1.877966335766012,692.1532988548279,297.12
ppo,wind,5.0,180.0,,wind_5mps_180deg,100,1.0,100,0,0,0,509.35506267368817,2.0838633475098605,2.0806544312087585,695.0013518333435,299.65
pid,wind,5.0,270.0,,wind_5mps_270deg,100,1.0,100,0,0,0,509.0094307382073,2.084328319777643,1.1386307937038167,1068.3482736349106,476.94
sac,wind,5.0,270.0,,wind_5mps_270deg,100,1.0,100,0,0,0,509.32460173380036,2.1001958071088804,1.8822370840421518,687.9314452409744,295.1
ppo,wind,5.0,270.0,,wind_5mps_270deg,100,0.99,99,1,0,0,503.7291565612055,55.8344847253708,2.0710524233571466,694.709774851799,299.44
pid,wind,5.0,45.0,,wind_5mps_45deg,100,1.0,100,0,0,0,509.00962810845834,2.084246625535673,1.1386307936999283,1068.3482736349106,476.94
sac,wind,5.0,45.0,,wind_5mps_45deg,100,1.0,100,0,0,0,509.3191679579551,2.0916411003904836,1.912632379911615,690.1362299919128,296.29
ppo,wind,5.0,45.0,,wind_5mps_45deg,100,1.0,100,0,0,0,509.35686062952095,2.084441869838307,2.0505036801101886,693.9179956912994,298.98
pid,wind,10.0,0.0,,wind_10mps_0deg,100,1.0,100,0,0,0,509.00991664946247,2.084632622568539,1.151733787679451,1068.3160305023193,477.04
sac,wind,10.0,0.0,,wind_10mps_0deg,100,0.99,99,1,0,0,503.3861522355523,59.38094874365442,1.9002371689003437,689.3187820911407,295.93
ppo,wind,10.0,0.0,,wind_10mps_0deg,100,1.0,100,0,0,0,509.35765810433486,2.0836084036586024,2.1282221835357555,692.3740029335022,298.71
pid,wind,10.0,90.0,,wind_10mps_90deg,100,1.0,100,0,0,0,509.00971637425135,2.0841011665514197,1.151733787679451,1068.3160305023193,477.04
sac,wind,10.0,90.0,,wind_10mps_90deg,100,1.0,100,0,0,0,509.32479768034324,2.098498902025752,1.8513513499667358,687.3948186635971,294.73
ppo,wind,10.0,90.0,,wind_10mps_90deg,100,1.0,100,0,0,0,509.3546147824743,2.083798888453895,2.0764467411653813,694.7924762964249,299.65
pid,wind,10.0,180.0,,wind_10mps_180deg,100,1.0,100,0,0,0,509.0091427050078,2.0840794151969972,1.151733787679451,1068.3160305023193,477.04
sac,wind,10.0,180.0,,wind_10mps_180deg,100,1.0,100,0,0,0,509.31880127423807,2.0945677082586784,1.9257809162666644,691.1316215991974,296.99
ppo,wind,10.0,180.0,,wind_10mps_180deg,100,1.0,100,0,0,0,509.35348749379796,2.0837996191663555,2.0636834198908742,695.9329277276993,300.09
pid,wind,10.0,270.0,,wind_10mps_270deg,100,1.0,100,0,0,0,509.0093429805983,2.08460944458988,1.151733787679451,1068.3160305023193,477.04
sac,wind,10.0,270.0,,wind_10mps_270deg,100,1.0,100,0,0,0,509.3195287566852,2.0981487905409475,1.8897570732964324,692.9293513298035,297.67
ppo,wind,10.0,270.0,,wind_10mps_270deg,100,1.0,100,0,0,0,509.3553497849646,2.0835231315872402,2.0896419075543107,694.7351634502411,299.62
pid,wind,10.0,45.0,,wind_10mps_45deg,100,1.0,100,0,0,0,509.0099353228372,2.0843711978054267,1.1517337878209113,1068.3160305023193,477.04
sac,wind,10.0,45.0,,wind_10mps_45deg,100,0.99,99,1,0,0,503.4023833387783,59.29068250295402,1.8843960945151335,689.3381178379059,295.79
ppo,wind,10.0,45.0,,wind_10mps_45deg,100,1.0,100,0,0,0,509.35806915227806,2.0826732857893804,2.1170777365886746,692.3344969749451,298.66
pid,mass,-0.2,,,mass_-0.2,100,1.0,100,0,0,0,508.7957711119033,2.1183137790278064,0.9857333227992058,1151.5632927417755,629.7
sac,mass,-0.2,,,mass_-0.2,100,0.99,99,1,0,0,503.7985209304637,55.56091432905585,1.8178777958057677,633.075875043869,328.13
ppo,mass,-0.2,,,mass_-0.2,100,0.05,5,0,0,95,-249.4193991440095,215.2545422756902,3.1693347851211597,3977.934119105339,2393.5
pid,mass,-0.1,,,mass_-0.1,100,1.0,100,0,0,0,508.8966746518233,2.1024483367044806,1.0302743194624782,1124.2310017347336,553.59
sac,mass,-0.1,,,mass_-0.1,100,1.0,100,0,0,0,509.3517208480418,2.071169936014123,1.8837921661886514,659.7247183322906,310.05
ppo,mass,-0.1,,,mass_-0.1,100,0.77,77,0,0,23,365.2544743828228,264.5559752029494,1.3116558876608964,1638.548420369625,852.94
pid,mass,0.1,,,mass_+0.1,100,1.0,100,0,0,0,509.1244531939841,2.0698538973380987,1.3613152699545026,993.65274310112,404.5
sac,mass,0.1,,,mass_+0.1,100,1.0,100,0,0,0,509.2898084893116,2.1013930741425577,1.9343433748543868,723.188990354538,285.65
ppo,mass,0.1,,,mass_+0.1,100,0.33,33,67,0,0,132.91470408470167,264.3801253321093,3.1370738306905532,647.64504134655,258.53
pid,mass,0.2,,,mass_+0.2,100,0.99,99,1,0,0,503.64165605136094,55.97493596729335,1.7590617667883635,913.7486785650253,341.62
sac,mass,0.2,,,mass_+0.2,100,1.0,100,0,0,0,509.26715072796344,2.1019288216081695,2.014007119657917,754.1388362646103,275.94
ppo,mass,0.2,,,mass_+0.2,100,0.0,0,100,0,0,-72.1057510779564,37.60586406846155,4.592389661029844,606.6302865743637,228.58
pid,sensor_noise,0.0,,0.01,noise_sig0_spk0.01,100,1.0,100,0,0,0,509.00391790073917,2.0925469853303538,2.5899482613273337,1120.4009145498276,478.1
sac,sensor_noise,0.0,,0.01,noise_sig0_spk0.01,100,0.96,96,4,0,0,485.59524519948275,116.72339134243875,2.330530107358912,700.6226897239685,312.16
ppo,sensor_noise,0.0,,0.01,noise_sig0_spk0.01,100,0.57,57,43,0,0,226.0337335599862,333.2933082010666,3.6006904591155955,630.559891462326,304.9
pid,sensor_noise,0.0,,0.05,noise_sig0_spk0.05,100,1.0,100,0,0,0,508.9352559004369,2.116677507710316,3.5354957212592217,1075.759333372116,506.55
sac,sensor_noise,0.0,,0.05,noise_sig0_spk0.05,100,0.02,2,15,83,0,-759.4992306952107,200.80132059629926,40.16675999473466,3613.597022369504,1678.63
ppo,sensor_noise,0.0,,0.05,noise_sig0_spk0.05,100,0.0,0,100,0,0,-862.126960552692,104.5191940428105,15.23638120012292,583.269989490509,255.92
pid,sensor_noise,0.01,,0.0,noise_sig0.01_spk0,100,1.0,100,0,0,0,508.7033186608236,2.1256375115095376,1.299393396445781,1319.6386188268661,598.41
sac,sensor_noise,0.01,,0.0,noise_sig0.01_spk0,100,0.0,0,36,53,11,-827.0317324318444,49.46440954393459,21.277994129810644,4081.606975616887,2000.47
ppo,sensor_noise,0.01,,0.0,noise_sig0.01_spk0,100,0.95,95,5,0,0,481.2556426486496,122.36689574872773,2.1907787245461057,703.6652773618698,304.25
pid,sensor_noise,0.01,,0.01,noise_sig0.01_spk0.01,100,1.0,100,0,0,0,508.6761140310268,2.142896497476238,2.265413698033433,1339.4794940948486,607.87
sac,sensor_noise,0.01,,0.01,noise_sig0.01_spk0.01,100,0.0,0,5,91,4,-793.5913220559166,28.263391090759985,22.366197271436466,4123.481965844985,2036.19
ppo,sensor_noise,0.01,,0.01,noise_sig0.01_spk0.01,100,0.48,48,52,0,0,158.0772572566604,349.0947406631336,4.100411523225421,698.6544996500015,314.9
pid,sensor_noise,0.01,,0.05,noise_sig0.01_spk0.05,100,0.99,99,1,0,0,502.99246681859927,56.24889921459306,4.188655594535554,1423.870462179184,638.15
sac,sensor_noise,0.01,,0.05,noise_sig0.01_spk0.05,100,0.0,0,29,71,0,-812.5573887664041,45.18250267364859,41.79681801366382,3630.4293296299875,1640.63
ppo,sensor_noise,0.01,,0.05,noise_sig0.01_spk0.05,100,0.0,0,100,0,0,-845.8823803097516,136.3988332442386,14.50126427666753,609.0199291706085,256.54
pid,sensor_noise,0.05,,0.0,noise_sig0.05_spk0,100,0.42,42,58,0,0,182.29759424210872,276.8789247522552,4.683507193631486,2165.6516656279564,1022.95
sac,sensor_noise,0.05,,0.0,noise_sig0.05_spk0,100,0.0,0,34,66,0,-818.6473231408918,47.84623961599647,54.52959988062286,3236.868243571371,1375.42
ppo,sensor_noise,0.05,,0.0,noise_sig0.05_spk0,100,0.0,0,100,0,0,-858.4824781407941,108.29469487885237,12.11803704657185,642.8992211818695,270.05
pid,sensor_noise,0.05,,0.01,noise_sig0.05_spk0.01,100,0.35,35,65,0,0,142.94780456451488,268.1643254361997,5.467535059024381,2208.9781403541565,1062.13
sac,sensor_noise,0.05,,0.01,noise_sig0.05_spk0.01,100,0.0,0,39,60,1,-824.4422600887349,48.817498551317414,55.53575106942676,3252.5950082577765,1364.41
ppo,sensor_noise,0.05,,0.01,noise_sig0.05_spk0.01,100,0.0,0,100,0,0,-879.0741421419947,69.06108502591694,14.37076357489464,649.5498776435852,258.98
pid,sensor_noise,0.05,,0.05,noise_sig0.05_spk0.05,100,0.45,45,38,0,17,191.77637700710886,286.89747324402214,9.26000314727674,3250.131903588772,1535.42
sac,sensor_noise,0.05,,0.05,noise_sig0.05_spk0.05,100,0.0,0,15,85,0,-799.3166415804703,36.15170251656525,54.173240345457735,2833.469780161977,1169.23
ppo,sensor_noise,0.05,,0.05,noise_sig0.05_spk0.05,100,0.0,0,100,0,0,-890.2385775154225,2.045871860331435,24.000388678180638,479.61143255233765,213.2
pid,sensor_noise,0.1,,0.0,noise_sig0.1_spk0,100,0.0,0,0,100,0,-790.0828217998792,2.568101277360208,9.721959898953337,2493.01171451807,1185.51
sac,sensor_noise,0.1,,0.0,noise_sig0.1_spk0,100,0.0,0,27,73,0,-814.0465927275947,44.25866673479539,41.29466947493006,1789.4521906971931,648.9
ppo,sensor_noise,0.1,,0.0,noise_sig0.1_spk0,100,0.0,0,100,0,0,-890.4857924641536,2.0480575934307232,27.081164845525226,461.2569719552994,182.11
pid,sensor_noise,0.1,,0.01,noise_sig0.1_spk0.01,100,0.0,0,0,100,0,-789.90770975225,2.620253710700428,11.562555057675247,2330.718047916889,1090.95
sac,sensor_noise,0.1,,0.01,noise_sig0.1_spk0.01,100,0.0,0,23,77,0,-808.4021001898403,43.08003091359872,39.29339923852588,1676.878309249878,625.27
ppo,sensor_noise,0.1,,0.01,noise_sig0.1_spk0.01,100,0.0,0,100,0,0,-890.5348068694325,2.0518631843280155,28.166238387452378,392.29349195957184,177.09
pid,sensor_noise,0.1,,0.05,noise_sig0.1_spk0.05,100,0.0,0,0,100,0,-789.3262318232855,2.677248338262803,12.305059965110196,1796.3356152176857,885.98
sac,sensor_noise,0.1,,0.05,noise_sig0.1_spk0.05,100,0.0,0,16,84,0,-803.8133022976009,37.035786968117506,38.013252117039045,1697.3799124360085,549.01
ppo,sensor_noise,0.1,,0.05,noise_sig0.1_spk0.05,100,0.0,0,100,0,0,-890.64196406508,2.04781695044613,32.12621952372882,558.8537245988846,163.43
pid,combined,10.0,0.0,0.05,combined_max,100,0.0,0,0,100,0,-789.212203558903,2.3164730964174347,16.073640052263055,939.9178743362427,462.19
sac,combined,10.0,0.0,0.05,combined_max,100,0.0,0,8,92,0,-796.9307225048925,26.662460317124154,35.591103202652384,1207.9856872558594,410.07
ppo,combined,10.0,0.0,0.05,combined_max,100,0.0,0,100,0,0,-890.5191014753225,2.057181753256821,37.917727482495394,469.8920398950577,177.78
